Residency,University,Offer type,Postgrad,Rural?,GPA,GAMSAT,GPA/7 + GAMSAT/100,Year,Deakin Bonus,Melbourne Access,,,,,,,,
Local,Griffith University,CSP,None,No,6.9,69,1.675714286,2018,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.97,67,1.665714286,2018,,,,,,,,,,
Local,Griffith University,CSP,Masters (coursework),No,6.69,68,1.635714286,2018,,,,,,,,,,
Local,Griffith University,FFP,Honours,No,6.72,59,1.55,2018,,,,,,,,,,
Local,Griffith University,FFP,Honours,No,6.74,67,1.632857143,2018,,,,,,,,,,
Local,Griffith University,FFP,None,No,6.88,67,1.652857143,2018,,,,,,,,,,
Local,Griffith University,FFP,None,No,6.73,67,1.631428571,2018,,,,,,,,,,
Local,Griffith University,BMP,None,Yes,6.7,54,1.497142857,2018,,,,,,,,,,
Local,Griffith University,BMP,None,Yes,6.73,59,1.551428571,2018,,,,,,,,,,
Local,Griffith University,BMP,None,Yes,6.92,57,1.558571429,2018,,,,,,,,,,
Local,Griffith University,BMP,None,Yes,6.9,62,1.605714286,2018,,,,,,,,,,
Local,Griffith University,BMP,None,Yes,6.65,59,1.54,2018,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.61,65,1.594285714,2018,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.75,63,1.594285714,2018,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.84,62,1.597142857,2018,,,,,,,,,,
Local,Griffith University,CSP,Honours,Yes,7,60,1.6,2018,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.95,62,1.612857143,2018,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,7,66,1.66,2018,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.58,69,1.63,2018,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.89,64,1.624285714,2018,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6,65,1.507142857,2018,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.67,63,1.582857143,2018,,,,,,,,,,
Local,Griffith University,CSP,Honours,Yes,6.89,62,1.604285714,2018,,,,,,,,,,
Local,Griffith University,CSP,Honours,Yes,6.88,61,1.592857143,2018,,,,,,,,,,
Local,Macquarie University,FFP,None,No,6.31,67,1.571428571,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.37,70,1.61,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,7,64,1.64,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.66,66,1.611428571,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.55,66,1.595714286,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.77,73,1.697142857,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.83,68,1.655714286,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.43,77,1.688571429,2018,,,,,,,,,,
Local,University of Melbourne,CSP,Honours,No,6.84,66,1.637142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,83,1.83,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.88,72,1.702857143,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.88,71,1.692857143,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.8,70,1.671428571,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.99,80,1.798571429,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.98,72,1.717142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.81,71,1.682857143,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.83,76,1.735714286,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.98,76,1.757142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,Masters,No,6.82,75,1.724285714,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.82,70,1.674285714,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.96,69,1.684285714,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.3,74,1.64,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.56,73,1.667142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.7,69,1.647142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,69,1.69,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.8,70,1.671428571,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,74,1.74,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.49,71,1.637142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.84,73,1.707142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.65,73,1.68,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.83,73,1.705714286,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,4,77,1.341428571,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.88,78,1.762857143,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.87,74,1.721428571,2018,,,,,,,,,,
Local,University of Melbourne,CSP,Honours,No,6.74,72,1.682857143,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.7,71,1.667142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.98,71,1.707142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,Honours,No,6.78,70,1.668571429,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.87,70,1.681428571,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.94,68,1.671428571,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.96,69,1.684285714,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.98,74,1.737142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.8,67,1.641428571,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.59,73,1.671428571,2018,,,,,,,,,,
Local,University of Melbourne,CSP,Honours,No,6.62,70,1.645714286,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.91,66,1.647142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.98,68,1.677142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,71,1.71,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.97,76,1.755714286,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,69,1.69,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.7,72,1.677142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,Masters (coursework),No,6.95,71,1.702857143,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.55,70,1.635714286,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.94,75,1.741428571,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.9,68,1.665714286,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.62,71,1.655714286,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.71,72,1.678571429,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.8,70,1.671428571,2018,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.01,69,1.548571429,2018,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.65,69,1.64,2018,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.77,65,1.617142857,2018,,,,,,,,,,
Local,University of Melbourne,FFP,Honours,No,6.61,76,1.704285714,2018,,,,,,,,,,
Local,University of Melbourne,FFP,Masters (coursework),No,6.32,62,1.522857143,2018,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.7,72,1.677142857,2018,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.88,74,1.722857143,2018,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.68,72,1.674285714,2018,,,,,,,,,,
Local,University of Melbourne,FFP,Honours,No,6.66,62,1.571428571,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.66,58,1.531428571,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.61,64,1.584285714,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.4,66,1.574285714,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.46,64,1.562857143,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.28,66,1.557142857,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.2,65,1.535714286,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.82,61,1.584285714,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.5,62,1.548571429,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.83,65,1.625714286,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.55,66,1.595714286,2018,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.9,65,1.635714286,2018,,,,,,,,,,
Local,University of Melbourne,CSP,Masters (coursework),Yes,6.52,77,1.701428571,2018,,,,,,,,,,
Local,University of Melbourne,CSP,Honours,Yes,6.14,66,1.537142857,2018,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.89,64,1.624285714,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,6.13,66,1.535714286,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,6.38,56,1.471428571,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,Masters (coursework),No,6.38,69,1.601428571,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,Masters (coursework),No,6.63,65,1.597142857,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,6.62,68,1.625714286,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.71,69,1.648571429,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.94,66,1.651428571,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,Honours,No,6.33,67,1.574285714,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,Masters (coursework),No,6.22,65,1.538571429,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,Honours,No,6.78,63,1.598571429,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.6,72,1.662857143,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,PhD,No,6.22,66,1.548571429,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,Honours,No,6.96,64,1.634285714,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,Honours,No,6.65,69,1.64,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,Honours,No,6.3,64,1.54,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,Masters (coursework),No,6.7,66,1.617142857,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.17,66,1.541428571,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,Honours,No,6.66,64,1.591428571,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.69,59,1.545714286,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,Honours,No,6.56,58,1.517142857,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,Yes,6.33,56,1.464285714,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,6.81,56,1.532857143,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,7,55,1.55,2018,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,6.16,54,1.42,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,None,No,6.93,65,1.64,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,Masters (coursework),No,6.8,60,1.571428571,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,None,No,6.92,62,1.608571429,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,7,77,1.77,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,7,77,1.77,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,7,77,1.77,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.86,67,1.65,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.84,69,1.667142857,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,Masters (coursework),No,6.35,67,1.577142857,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,Honours,No,6.91,68,1.667142857,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,Honours,No,6.62,65,1.595714286,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.64,64,1.588571429,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,Honours,No,6.31,71,1.611428571,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,Honours,No,6.53,67,1.602857143,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,Masters (coursework),No,7,73,1.73,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.42,67,1.587142857,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.5,64,1.568571429,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.22,70,1.588571429,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.75,77,1.734285714,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,Honours,No,6.73,67,1.631428571,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,Honours,No,6.92,63,1.618571429,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,Honours,No,6.42,66,1.577142857,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.95,71,1.702857143,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,Masters (coursework),No,6.12,65,1.524285714,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,Honours,No,6.61,69,1.634285714,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.5,65,1.578571429,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.55,68,1.615714286,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,Masters (coursework),Yes,6.72,57,1.53,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,Yes,6.77,64,1.607142857,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,Yes,6.28,70,1.597142857,2018,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,Honours,Yes,6.21,63,1.517142857,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.2,74,1.625714286,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.3,74,1.64,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.67,74,1.692857143,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,No,5.6,74,1.54,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.79,73,1.7,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.5,74,1.668571429,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.09,75,1.477142857,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.5,75,1.678571429,2018,,,,,,,,,,
Local,University of Queensland,CSP,Honours,No,7,77,1.77,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,7,74,1.74,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.57,76,1.698571429,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.87,77,1.751428571,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.72,76,1.72,2018,,,,,,,,,,
Local,University of Queensland,CSP,Masters (coursework),No,7,75,1.75,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.8,76,1.731428571,2018,,,,,,,,,,
Local,University of Queensland,CSP,Honours,No,6,75,1.607142857,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.6,76,1.702857143,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.26,76,1.511428571,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.66,70,1.508571429,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.94,70,1.691428571,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,7,75,1.75,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.8,76,1.731428571,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.17,79,1.671428571,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.7,74,1.697142857,2018,,,,,,,,,,
Local,University of Queensland,CSP,Honours,No,7,73,1.73,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.99,74,1.738571429,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.9,74,1.725714286,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.88,74,1.722857143,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.78,77,1.738571429,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.33,69,1.594285714,2018,,,,,,,,,,
Local,University of Queensland,BMP,Masters (coursework),Yes,6.15,66,1.538571429,2018,,,,,,,,,,
Local,University of Queensland,BMP,Honours,Yes,7,67,1.67,2018,,,,,,,,,,
Local,University of Queensland,BMP,Honours,Yes,6.76,65,1.615714286,2018,,,,,,,,,,
Local,University of Queensland,BMP,PhD,Yes,7,65,1.65,2018,,,,,,,,,,
Local,University of Queensland,BMP,Honours,Yes,7,66,1.66,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.16,67,1.55,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,5.04,68,1.4,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,5.55,72,1.512857143,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,5.44,68,1.457142857,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.71,67,1.628571429,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.9,66,1.645714286,2018,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.53,71,1.642857143,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,6.81,72,1.692857143,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,6.93,76,1.75,2018,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,5.25,84,1.59,2018,,,,,,,,,,
Local,University of Queensland,CSP,Honours,Yes,7,68,1.68,2018,,,,,,,,,,
Local,University of Queensland,CSP,Honours,Yes,6.41,71,1.625714286,2018,,,,,,,,,,
Local,University of Sydney,BMP,Masters (coursework),No,5.5,69,1.475714286,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.32,69,1.592857143,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.97,80,1.795714286,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.88,73,1.57,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,7,69,1.69,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.75,76,1.581428571,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.39,72,1.49,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.52,72,1.508571429,2018,,,,,,,,,,
Local,University of Sydney,CSP,Masters (coursework),No,5.16,69,1.427142857,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.8,74,1.711428571,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.46,71,1.632857143,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.27,69,1.442857143,2018,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.15,72,1.598571429,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.64,69,1.638571429,2018,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,5.68,76,1.571428571,2018,,,,,,,,,,
Local,University of Sydney,CSP,Masters (coursework),No,5.98,70,1.554285714,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,7,74,1.74,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.56,76,1.697142857,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.57,73,1.668571429,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.63,69,1.494285714,2018,,,,,,,,,,
Local,University of Sydney,CSP,Masters,No,5.23,69,1.437142857,2018,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.78,70,1.668571429,2018,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.84,83,1.807142857,2018,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.84,87,1.847142857,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.39,69,1.46,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.96,69,1.684285714,2018,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,5.91,70,1.544285714,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.63,74,1.687142857,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.73,69,1.651428571,2018,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,5.65,72,1.527142857,2018,,,,,,,,,,
Local,University of Sydney,CSP,Masters (coursework),No,5.4,71,1.481428571,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,7,70,1.7,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.5,76,1.688571429,2018,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,5,71,1.424285714,2018,,,,,,,,,,
Local,University of Sydney,CSP,Honours,No,6.2,74,1.625714286,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.69,69,1.645714286,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.84,73,1.707142857,2018,,,,,,,,,,
Local,University of Sydney,BMP,Honours,Yes,5.48,66,1.442857143,2018,,,,,,,,,,
Local,University of Sydney,BMP,Masters (coursework),Yes,6,66,1.517142857,2018,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,5.24,65,1.398571429,2018,,,,,,,,,,
Local,University of Sydney,BMP,Masters (coursework),Yes,5.69,68,1.492857143,2018,,,,,,,,,,
Local,University of Sydney,BMP,Honours,Yes,6.01,64,1.498571429,2018,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.82,68,1.654285714,2018,,,,,,,,,,
Local,University of Sydney,BMP,None,Yes,6.81,65,1.622857143,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.46,72,1.642857143,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.4,73,1.644285714,2018,,,,,,,,,,
Local,University of Sydney,CSP,Honours,Yes,5.13,64,1.372857143,2018,,,,,,,,,,
Local,University of Sydney,CSP,None,Yes,6.27,61,1.505714286,2018,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,7,68,1.68,2018,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.95,72,1.712857143,2018,,,,,,,,,,
Local,University of Western Australia,BMP,None,No,6.18,80,1.682857143,2018,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,6.9,66,1.645714286,2018,,,,,,,,,,
Local,University of Western Australia,CSP,None,No,6.95,67,1.662857143,2018,,,,,,,,,,
